match_id;champion;win;queue_id;game_duration;patch;kills;deaths;assists;kda;role;lane;gold_earned;gold_spent;total_minions;neutral_minions;total_damage;physical_damage;magic_damage;true_damage;damage_taken;damage_healed;vision_score;wards_placed;wards_killed;vision_wards;turret_kills;inhibitor_kills;dragon_kills;baron_kills;rift_herald_kills;item_0;item_1;item_2;item_3;item_4;item_5;item_6;primary_rune_tree;secondary_rune_tree;rune_0_0;rune_0_1;rune_0_2;rune_0_3;rune_1_0;rune_1_1
LA2_1526887342;Thresh;0;440;49;15.16.706.7476;2;11;24;23.636.363.636.363.600;UTILITY;JUNGLE;13012;12375;48;4;11699;1051;10647;0;54365;5731;166;84;16;7;0;0;1;0;0;3876;3190;4638;3109;3009;3110;3364;8300;8400;8351;8306;8345;8347;8473;8242
LA2_1526926743;Blitzcrank;1;440;32;15.16.706.7476;1;8;21;2.75;UTILITY;BOTTOM;9309;6875;31;0;11411;2968;7500;942;24772;1374;90;42;6;7;1;1;0;0;0;3869;0;2022;3002;3170;2421;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1526939589;Leona;1;440;33;15.16.706.7476;2;2;26;14.0;UTILITY;BOTTOM;10766;9980;37;2;6945;1897;4164;883;23011;7357;89;31;16;8;1;0;0;0;0;3877;3190;4638;3109;3174;3076;3364;8400;8000;8439;8463;8444;8451;9105;9111
LA2_1526952102;Leona;1;440;28;15.16.706.7476;2;0;22;24.0;UTILITY;MIDDLE;8759;7875;26;2;12811;3843;7590;1376;15788;5153;63;25;4;7;1;0;0;0;0;3877;3190;3110;3174;1028;0;3364;8400;8000;8439;8463;8444;8451;9105;9111
LA2_1526959574;Leona;0;440;29;15.16.706.7476;1;7;8;12.857.142.857.142.800;UTILITY;MIDDLE;7736;7025;34;0;9669;2478;6444;745;24219;3555;77;35;11;7;0;0;0;0;0;3877;3190;1031;3111;3067;3076;3364;8400;8000;8439;8463;8444;8451;9105;9111
LA2_1526968780;Thresh;0;440;29;15.16.706.7476;0;4;11;2.75;UTILITY;BOTTOM;6522;5950;37;0;7468;861;6606;0;20371;1922;68;35;4;4;0;0;0;0;0;3876;3190;1031;3009;3067;1006;3364;8400;8300;8439;8463;8473;8242;8347;8306
LA2_1526969157;Blitzcrank;1;440;29;15.16.706.7476;0;4;14;3.5;UTILITY;BOTTOM;7422;7025;24;0;9329;3579;4394;1355;20023;4660;81;34;8;7;0;0;0;0;0;3869;3190;1028;3009;3002;0;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1526993232;Blitzcrank;0;440;39;15.16.706.7476;1;6;23;4.0;UTILITY;BOTTOM;9649;8425;29;0;13435;3929;7743;1762;36913;6274;118;59;8;9;0;0;0;0;0;3869;3143;2055;3009;3002;3082;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1526997759;Thresh;1;440;34;15.16.706.7476;2;8;24;3.25;UTILITY;BOTTOM;10230;9475;25;0;10378;1212;8315;850;24345;5623;97;50;6;9;1;0;0;0;0;3876;3190;3107;3109;3170;0;3364;8300;8400;8351;8306;8345;8347;8473;8242
LA2_1527006020;Thresh;0;440;25;15.16.706.7476;6;10;11;1.7;UTILITY;BOTTOM;8577;7450;19;0;8843;989;7295;558;27350;2246;48;20;6;6;0;0;0;0;0;3876;3190;2055;3109;4642;3009;3364;8300;8400;8351;8306;8345;8347;8473;8242
LA2_1527015279;Thresh;0;440;16;15.16.706.7476;1;5;4;1.0;UTILITY;NONE;4208;4150;22;0;4087;617;3229;240;10511;152;23;11;2;2;0;0;0;0;0;3876;3190;2022;3009;0;0;3364;8300;8400;8351;8306;8345;8347;8473;8242
LA2_1527016979;Blitzcrank;0;440;23;15.16.706.7476;0;1;5;5.0;UTILITY;BOTTOM;4983;4500;20;0;5625;1381;3359;885;15046;2064;35;17;5;4;0;0;0;0;0;3869;1031;3067;3009;3066;1029;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1527025303;Sejuani;0;440;29;15.16.706.7476;2;8;11;1.625;JUNGLE;JUNGLE;9994;9525;18;140;15660;7894;7280;486;44456;15316;24;2;5;3;0;0;2;0;0;3068;2055;3050;3211;3174;1057;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1527031869;Ezreal;1;440;21;15.16.706.7476;2;0;4;6.0;BOTTOM;BOTTOM;7031;6383;143;0;9256;6746;2462;48;8964;3356;7;5;0;0;0;0;0;0;0;1055;3158;3078;3133;1036;3070;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1527038523;Ezreal;1;440;22;15.16.706.7476;4;1;5;9.0;BOTTOM;BOTTOM;8526;8128;148;8;12477;8397;4053;26;11976;4565;11;8;0;1;2;0;1;0;0;3078;3042;3171;0;0;1055;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1527048075;Ezreal;0;440;30;15.16.706.7476;4;1;5;9.0;BOTTOM;BOTTOM;11531;10883;213;0;31338;20059;11279;0;20381;7152;24;12;4;2;0;0;0;0;0;1055;6694;3078;3042;3158;1036;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1527057376;Ezreal;1;440;28;15.16.706.7476;6;2;4;5.0;BOTTOM;BOTTOM;13604;11533;218;8;22645;16536;6108;0;18931;6864;19;13;1;4;5;1;0;0;0;3171;0;1036;6694;3078;3042;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1527065732;Ezreal;1;440;38;15.16.706.7476;10;4;10;5.0;BOTTOM;BOTTOM;16282;15683;190;33;43259;29494;12631;1133;26759;9943;37;16;6;6;6;2;1;0;0;3171;2021;6694;3042;3078;3153;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1527080479;Ezreal;0;440;27;15.16.706.7476;2;6;5;11.666.666.666.666.600;BOTTOM;BOTTOM;8455;7483;164;0;16795;12195;4599;0;14647;3083;10;7;1;2;0;0;0;0;0;3042;3158;0;3078;1055;0;3363;8000;8300;8005;8009;9103;8014;8345;8304
